emp_no,title,last_name,first_name,to_date
266333,Staff,Oppitz,Moss,9999-01-01
473128,Senior Engineer,Dredge,Weijing,9999-01-01
49320,Senior Engineer,Ratnakar,Zhigen,9999-01-01
462407,Staff,Motley,Sastry,9999-01-01
252230,Engineer,Kusalik,Nitsan,9999-01-01
241815,Engineer,Terlouw,Alagu,9999-01-01
44750,Senior Staff,Coors,Bernice,9999-01-01
28208,Engineer,Lienhardt,Tristan,9999-01-01
404501,Senior Staff,Nitta,Maya,9999-01-01
62892,Senior Staff,Muniz,Gadiel,9999-01-01
213558,Senior Engineer,Gunderson,Vidya,9999-01-01
207178,Senior Engineer,Muniz,Masasuke,9999-01-01
486658,Engineer,Pfau,Neelam,9999-01-01
50588,Staff,Swan,Ghassan,9999-01-01
474569,Staff,Nyanchama,Paraskevi,9999-01-01
235367,Engineer,Wrigley,Lucien,9999-01-01
234390,Senior Engineer,Arlazarov,Mokhtar,9999-01-01
230928,Engineer,Schlumberger,Tesuya,9999-01-01
218656,Staff,Simmel,Valeska,9999-01-01
72160,Staff,Scharstein,Sugwoo,9999-01-01
485602,Staff,Murillo,Baoqiu,9999-01-01
260423,Senior Engineer,Papadias,Debaprosad,9999-01-01
480353,Senior Staff,Vural,Weiyi,9999-01-01
85494,Senior Staff,Gulik,Lech,9999-01-01
442986,Technique Leader,Zeleznik,Nalini,9999-01-01
278828,Assistant Engineer,Rosin,Stabislas,9999-01-01
41939,Staff,Usery,Kwangho,9999-01-01
425375,Senior Staff,Peir,Tsvetan,9999-01-01
246140,Staff,Zschoche,Duangkaew,9999-01-01
450931,Staff,Stentiford,IEEE,9999-01-01
236287,Engineer,Butner,Babette,9999-01-01
35425,Senior Engineer,Desikan,Hinrich,9999-01-01
224085,Senior Engineer,Klerer,Uri,9999-01-01
42444,Senior Staff,Kobuchi,Seongbin,9999-01-01
249988,Senior Staff,Casperson,Masako,9999-01-01
414245,Senior Engineer,Krupka,Domenico,9999-01-01
23993,Senior Engineer,Ghalwash,Gian,9999-01-01
298150,Staff,Alblas,Sachio,9999-01-01
248292,Engineer,Bugrara,Arunas,9999-01-01
88806,Staff,Ernst,Laurentiu,9999-01-01
465872,Engineer,Litzler,Maria,9999-01-01
222330,Staff,Bellone,Gor,9999-01-01
51078,Engineer,Leuchs,Maia,9999-01-01
441529,Engineer,Tasistro,Kazuhiko,9999-01-01
47637,Senior Staff,Schlegelmilch,Sariel,9999-01-01
462116,Engineer,Ramras,Mahmut,9999-01-01
400877,Senior Staff,Azuma,Dmitry,9999-01-01
63562,Technique Leader,Heiserman,Dannz,9999-01-01
59029,Senior Staff,Cmelik,Krassimir,9999-01-01
436431,Staff,Hutton,Uriel,9999-01-01
252510,Engineer,Akazan,Bedir,9999-01-01
82491,Engineer,Lorho,Lalit,9999-01-01
488963,Staff,Weisert,Conrado,9999-01-01
292219,Staff,Deyuan,Dharmaraja,9999-01-01
407326,Staff,Spataro,Jiafu,9999-01-01
297497,Senior Engineer,Frijda,Dulce,9999-01-01
209212,Engineer,Trumbly,Bouchung,9999-01-01
438304,Staff,Gilg,Jeane,9999-01-01
212219,Senior Engineer,Solovay,Yahiko,9999-01-01
238599,Staff,Breugel,Tokuyasu,9999-01-01
64731,Senior Engineer,Rosay,Fumino,9999-01-01
415554,Staff,Panienski,Goh,9999-01-01
487265,Staff,Sidhu,Ramzi,9999-01-01
443240,Engineer,Gimbel,Billie,9999-01-01
290910,Staff,Pepe,Frazer,9999-01-01
261416,Staff,Vilarrasa,Sreenivas,9999-01-01
101928,Engineer,Baezner,Avishai,9999-01-01
497431,Assistant Engineer,Ruemmler,Mabo,9999-01-01
409374,Senior Engineer,Gischer,Vesna,9999-01-01
254417,Staff,Selvestrel,Yurii,9999-01-01
